trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
180,False,"{'a': 0.99, 'e': 0.16380796970808742}",30,14,27.388111282221157,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.99, 'e': 0.16216989001100654}",20,0,-30.79690344853994,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
182,False,"{'a': 0.99, 'e': 0.16054819111089647}",25,8,-24.08358350366498,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 0}",1
183,False,"{'a': 0.99, 'e': 0.1589427091997875}",30,17,2.55015267454109,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.99, 'e': 0.15735328210778962}",25,11,25.503977718821467,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.99, 'e': 0.15577974928671173}",25,2,23.440228081379075,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.99, 'e': 0.1542219517938446}",20,2,13.923634641358534,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.99, 'e': 0.15267973227590617}",25,10,-21.522886699074405,"{0: 12, 1: 1, 2: 0, 3: 2, 4: 0}",1
188,False,"{'a': 0.99, 'e': 0.1511529349531471}",25,4,-6.250409658378736,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
189,False,"{'a': 0.99, 'e': 0.14964140560361563}",20,13,12.480412156127331,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.99, 'e': 0.14814499154757946}",20,13,14.207378148895634,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.99, 'e': 0.14666354163210368}",25,0,0.6542467403674548,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
192,False,"{'a': 0.99, 'e': 0.14519690621578263}",25,11,-114.64967499320448,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 3}",1
193,False,"{'a': 0.99, 'e': 0.1437449371536248}",25,17,14.055333561287767,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.99, 'e': 0.14230748778208857}",25,8,30.023915767039156,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.99, 'e': 0.14088441290426768}",30,0,30.412657730177333,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
196,False,"{'a': 0.99, 'e': 0.139475568775225}",30,15,25.539889506713635,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.99, 'e': 0.13808081308747275}",30,18,12.205790453784479,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.99, 'e': 0.136700004956598}",25,4,6.179676979861441,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 0}",1
199,False,"{'a': 0.99, 'e': 0.13533300490703204}",20,12,5.491383315918685,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
200,False,"{'a': 0.99, 'e': 0.13397967485796172}",25,0,-33.821409160998144,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",0
201,False,"{'a': 0.99, 'e': 0.1326398781093821}",25,13,21.297126804902714,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.99, 'e': 0.13131347932828827}",25,7,5.337111329234352,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
203,False,"{'a': 0.99, 'e': 0.1300003445350054}",20,8,9.927717289802167,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.99, 'e': 0.12870034108965533}",35,0,-23.192661247021686,"{0: 32, 1: 0, 2: 1, 3: 1, 4: 1}",1
205,False,"{'a': 0.99, 'e': 0.1274133376787588}",30,0,15.41634020628503,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
206,False,"{'a': 0.99, 'e': 0.12613920430197118}",20,14,12.438795893020036,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.99, 'e': 0.12487781225895148}",30,24,11.05052720286588,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.99, 'e': 0.12362903413636196}",20,13,3.8674347013638544,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.99, 'e': 0.12239274379499834}",20,9,20.25314407996363,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.99, 'e': 0.12116881635704835}",20,0,26.746691185180183,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
211,False,"{'a': 0.99, 'e': 0.11995712819347787}",25,18,13.294882524907367,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.99, 'e': 0.11875755691154309}",20,5,-3.5193352160921196,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
213,False,"{'a': 0.99, 'e': 0.11756998134242766}",20,0,1.5161916982288637,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
214,False,"{'a': 0.99, 'e': 0.11639428152900338}",30,12,-12.012556245640903,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 0}",1
215,False,"{'a': 0.99, 'e': 0.11523033871371334}",20,0,24.866622411925945,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
216,False,"{'a': 0.99, 'e': 0.1140780353265762}",20,13,12.710886530771283,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.99, 'e': 0.11293725497331045}",35,15,33.98963184269356,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.99, 'e': 0.11180788242357734}",20,0,-8.28768306385317,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
219,False,"{'a': 0.99, 'e': 0.11068980359934157}",20,5,17.117817726019496,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.99, 'e': 0.10958290556334815}",25,12,23.972704903005187,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.99, 'e': 0.10848707650771466}",20,12,15.348664178138929,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.99, 'e': 0.10740220574263752}",20,5,16.29675909478763,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.99, 'e': 0.10632818368521114}",20,6,24.68711132897504,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.99, 'e': 0.10526490184835903}",25,4,27.336867464253093,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.99, 'e': 0.10421225282987544}",30,16,28.617355460943166,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.99, 'e': 0.10317013030157669}",20,8,-4.010254296317149,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
227,False,"{'a': 0.99, 'e': 0.10213842899856092}",35,21,25.54193275517825,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.99, 'e': 0.10111704470857531}",20,9,15.50779560190407,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.99, 'e': 0.10010587426148955}",25,17,17.41098154342216,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.99, 'e': 0.09910481551887466}",20,14,14.397668215326753,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.99, 'e': 0.0981137673636859}",20,9,20.045806489244942,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.99, 'e': 0.09713262969004904}",25,19,12.254608603737683,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.99, 'e': 0.09616130339314856}",20,16,7.7946590759468055,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.99, 'e': 0.09519969035921708}",25,3,34.43656134301034,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.99, 'e': 0.0942476934556249}",20,9,8.50146700891846,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
236,False,"{'a': 0.99, 'e': 0.09330521652106866}",20,13,9.84567203923269,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.99, 'e': 0.09237216435585796}",30,17,23.265799049655136,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.99, 'e': 0.09144844271229938}",20,10,21.57961862202832,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.99, 'e': 0.0905339582851764}",25,17,12.046465301193791,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.99, 'e': 0.08962861870232462}",25,18,15.025308012290912,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.99, 'e': 0.08873233251530138}",25,14,14.70578763870475,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.99, 'e': 0.08784500919014836}",25,7,35.11347550912668,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.99, 'e': 0.08696655909824688}",20,6,14.060729971158,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
244,False,"{'a': 0.99, 'e': 0.0860968935072644}",30,0,48.29333247808669,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
245,False,"{'a': 0.99, 'e': 0.08523592457219176}",25,13,8.654997135171358,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
246,False,"{'a': 0.99, 'e': 0.08438356532646984}",30,19,24.438425266265902,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.99, 'e': 0.08353972967320515}",25,13,-21.48151450028366,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
248,False,"{'a': 0.99, 'e': 0.0827043323764731}",20,11,17.961064926471522,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.99, 'e': 0.08187728905270836}",25,8,6.311489658290887,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
250,False,"{'a': 0.99, 'e': 0.08105851616218128}",25,13,21.88505340648722,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.99, 'e': 0.08024793100055946}",20,0,-11.58892754482737,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
252,False,"{'a': 0.99, 'e': 0.07944545169055386}",20,0,26.270360089822812,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
253,False,"{'a': 0.99, 'e': 0.07865099717364833}",25,4,35.85018832166855,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.99, 'e': 0.07786448720191184}",20,0,7.155072050759992,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
255,False,"{'a': 0.99, 'e': 0.07708584232989273}",25,3,-30.822742621279986,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
256,False,"{'a': 0.99, 'e': 0.0763149839065938}",20,12,16.05387528433231,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.99, 'e': 0.07555183406752786}",30,24,11.998199522601027,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.99, 'e': 0.07479631572685258}",20,6,10.186749076363995,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
259,False,"{'a': 0.99, 'e': 0.07404835256958406}",30,13,32.964602500043526,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.99, 'e': 0.07330786904388821}",25,10,27.07931300789534,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.99, 'e': 0.07257479035344933}",20,0,27.26883344832382,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.99, 'e': 0.07184904244991483}",35,20,-9.956086973534484,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
263,False,"{'a': 0.99, 'e': 0.07113055202541568}",20,0,21.72447485639995,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
264,False,"{'a': 0.99, 'e': 0.07041924650516153}",20,10,19.556083028269487,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.99, 'e': 0.06971505404010991}",25,0,15.038974924703506,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
266,False,"{'a': 0.99, 'e': 0.06901790349970881}",35,19,29.558107325528063,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.99, 'e': 0.06832772446471172}",20,0,7.087543594276024,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
268,False,"{'a': 0.99, 'e': 0.0676444472200646}",25,8,31.181229340228715,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.99, 'e': 0.06696800274786396}",35,22,24.27493909309982,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.99, 'e': 0.06629832272038531}",25,1,-24.70062953158126,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
271,False,"{'a': 0.99, 'e': 0.06563533949318147}",25,3,2.756837578144941,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
272,False,"{'a': 0.99, 'e': 0.06497898609824965}",25,13,20.716612453362583,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.99, 'e': 0.06432919623726716}",20,9,19.253697747710177,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.99, 'e': 0.06368590427489448}",20,11,14.180834848109388,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.99, 'e': 0.06304904523214554}",20,10,20.939045379963932,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.99, 'e': 0.06241855477982408}",20,4,23.448508829408272,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.99, 'e': 0.06179436923202584}",25,0,38.01875619016816,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
278,False,"{'a': 0.99, 'e': 0.06117642553970558}",20,6,11.720197861921829,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
279,False,"{'a': 0.99, 'e': 0.06056466128430853}",30,8,-20.47783943700172,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
280,False,"{'a': 0.99, 'e': 0.05995901467146544}",30,12,26.278220963105802,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.99, 'e': 0.059359424524750785}",30,7,-9.956874939197277,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
282,False,"{'a': 0.99, 'e': 0.05876583027950327}",25,17,12.818810635540727,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.99, 'e': 0.05817817197670824}",25,6,35.6424752393889,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.99, 'e': 0.05759639025694116}",20,0,-13.21795557911658,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
285,False,"{'a': 0.99, 'e': 0.057020426354371746}",25,12,21.400286598984565,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.99, 'e': 0.05645022209082803}",35,17,28.45457394594079,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.99, 'e': 0.05588571986991975}",25,20,12.26539515245636,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.99, 'e': 0.05532686267122055}",30,13,29.18268354893073,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.99, 'e': 0.05477359404450834}",25,16,16.557014491589158,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.99, 'e': 0.05422585810406326}",20,0,26.649817011135795,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.99, 'e': 0.05368359952302263}",20,8,19.28841290702173,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.99, 'e': 0.0531467635277924}",25,11,18.274578729650774,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.99, 'e': 0.05261529589251448}",30,15,28.534122977577525,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.99, 'e': 0.05208914293358933}",20,13,3.23793352267692,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
295,False,"{'a': 0.99, 'e': 0.05156825150425344}",20,13,11.42897063234688,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.99, 'e': 0.0510525689892109}",25,0,25.30131822373931,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
297,False,"{'a': 0.99, 'e': 0.050542043299318794}",20,11,14.94611005758414,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.99, 'e': 0.050036622866325604}",20,0,-9.992432268409356,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
299,False,"{'a': 0.99, 'e': 0.04953625663766235}",25,6,33.202086997364006,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,22,16.529142504328533,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,18,20.701783070056944,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,12,14.772145567149506,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,18,11.041445706457232,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,16,15.151326890083155,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,2,37.233276771379856,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,13,22.262801861785423,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,6,30.342032354759482,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,13,11.333378873433755,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,16,6.3242280192485625,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
